Artist,Collective/Individual,First Nations People Group (from Know My Name only),Place of Birth (First Nations Language),Place of Birth (Anglophone),State of Birth,Country of Birth,Place of Birth Latitude,Place of Birth Longitude,Year of Birth,Date of Birth,Place of Death (Indigenous),Place of Death (Anglophone),State of Death,Country of Death,Place of Death Latitude,Place of Death Longitude,Year of Death,Date of Death,Link to DAAO,"In DAAO 2,188",Link to AWR,Author of NGA Essay,Page of Book,Anne Marsh Critic Author Full Citations,Anne Marsh Critic Authors,Anne Marsh Discussions,Illustration Included?,Link to NLA,Multiple NLA,Missing NLA,related_events,related_organizations,related_people,related_places,related_recognitions,related_resources,related_works,related_total_count
"Whiting, Ada",Individual,,Nipaluna,Hobart,TAS,Australia,-42.882393,147.325848085921,1859,,Boonwurrung Land,Brighton,VIC,Australia,-37.9081962,144.9957991,1953,,https://www.daao.org.au/bio/ada-whiting,[Born pre-1900] Y,,,,,,,,https://trove.nla.gov.au/people/1484468,N,N,10.0,0.0,4.0,6.0,0.0,6.0,9.0,35.0
"Perry, Adelaide",Individual,,Barrmutha,Beechworth,VIC,Australia,-36.3594929,146.687012,1891,23/06/1891,Moocooboola,Hunter's Hill,NSW,Australia,-31.88835,151.16392,1973,1973-11-19 00:00:00,https://www.daao.org.au/bio/adelaide-perry,[Born pre-1900] N,,,,,,,,https://trove.nla.gov.au/people/615700,N,N,23.0,0.0,20.0,10.0,1.0,14.0,3.0,71.0
"Gothe-Snape, Agatha",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1980,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/agatha-gothe-snape,N,,Hannah Mathews,156.0,,,,,https://trove.nla.gov.au/people/1516282,N,N,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Goodsir, Agnes",Individual,,Gunditj Mirring Land,Portland,VIC,Australia,-38.3456231,141.6042304,1864,18/06/1894,,Paris,,France,48.8588897,2.3200410217200766,1939,1939-08-11 00:00:00,https://www.daao.org.au/bio/agnes-goodsir,[Born pre-1900] Y,,Karen Quinlan,154.0,,,,,https://trove.nla.gov.au/people/1485689,N,N,20.0,0.0,3.0,10.0,2.0,18.0,29.0,82.0
"Tomescu, Aida",Individual,,,Bucharest,Bucharest,Romania,44.4361414,26.1027202,1955,1955-10-03 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/aida-tomescu,Y,,Angela Goddard,352.0,,,,,https://trove.nla.gov.au/people/1485590,N,N,42.0,0.0,0.0,5.0,4.0,4.0,6.0,61.0
"Hinton-Bateup, Alice",Individual,Kamilaroi/Wonnarua People,Gadigal Land,South Sydney,NSW,Australia,-33.8679526,151.210134824045,1950,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/alice-hinton-bateup,Y,,,,,,,,"https://trove.nla.gov.au/people/1486083
https://trove.nla.gov.au/people/1702213",Y,N,5.0,0.0,1.0,3.0,0.0,1.0,5.0,15.0
"Bale, Alice Marian Ellen",Individual,,Quo-yung,Richmond,VIC,Australia,-37.8203955,145.0025153,1875,11/11/1875,,Melbourne,VIC,Australia,-37.8141705,144.9655616,1955,1955-02-14 00:00:00,https://www.daao.org.au/bio/alice-marion-ellen-bale,N,,,,,,,,https://trove.nla.gov.au/people/554736,N,N,17.0,0.0,8.0,6.0,1.0,11.0,6.0,49.0
"Alder, Alison",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1958,1958-02-12 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/alison-alder/biography,Y,,,,,,"114i, 116i",Y,https://trove.nla.gov.au/people/477589,N,N,,,,,,,,
"Klose, Anastasia",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1978,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/anastasia-klose,N,,,,,,,,https://trove.nla.gov.au/people/1519210,N,N,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
"Mesiti, Angelica",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1976,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/angelica-mesiti,N,,Juliana Engberg,408.0,,,"161, 286, 286i",Y,https://trove.nla.gov.au/people/1517425,N,N,1.0,0.0,3.0,1.0,0.0,0.0,3.0,8.0
"Newmarch, Ann",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231427,1945,1945-06-09 00:00:00,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231426997,2022,2022-01-13 00:00:00,https://www.daao.org.au/bio/ann-foster-newmarch,Y,,Julie Robinson,274.0,"(1) Julie Ewington, 'Political postering', in Paul Taylor (ed.), Anything Goes: Art in Australia 1970-1980 (South Yarra: Art & Text, 1984), 88-97 [370-73]
(2) Lucy R. Lippard, 'Ann Newmarch: Ripples in the global pond', Artlink 17, 4 (1997): 8-9 [389-90]
(3) Janine Burke, 'Art for the end of the world', Meanjin 40, 3 (October 1981): 375-82 [409-11]
(4) Jeannette Kavanagh (Fenelon), 'The Women & Arts Festival: A partial view', Art Network 8 (Summer 1983), 17-19 [438-40]
(5) Eric Riddler, 'Survey results from the National Women's Art Exhibition', in Joan Kerr and Jo Holder (ed.), Past Present: The National Women's Art Anthology (North Ryde, NSW: Craftsman House, 1999), 159-68 [502-4]","(1) Julie Ewington
(2) Lucy R. Lippard
(3) Janine Burke
(4) Jeannette Kavanagh
(5) Eric Riddler","46, 46i, 49, 58, 104i, 110, 110i, 372, 389-90, 410, 439, 440, 503",Y,"https://trove.nla.gov.au/people/1482883
https://trove.nla.gov.au/people/593624",Y,N,16.0,0.0,5.0,3.0,0.0,7.0,2.0,33.0
Romance Was Born (Anna Plunkett),Individual,,Bungambrawatha,Albury,NSW,Australia,-36.0804766,146.9162795,1982,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/anna-plunkett,N,,,,,,,,"https://trove.nla.gov.au/people/1873988
https://trove.nla.gov.au/people/1624959",Y,N,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0
"Ferran, Anne",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1949,1949-05-10 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/anne-ferran,Y,,Anne O'Hehir,122.0,,,"134, 134i, 135, 135i",Y,https://trove.nla.gov.au/people/500511,N,N,6.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0
"MacDonald, Anne",Individual,,Palanwina Luruni Kanamaluka,Launceston,TAS,Australia,-41.433389,147.139262914799,1960,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/anne-macdonald,N,,,,,,,,"https://trove.nla.gov.au/people/1535390
https://trove.nla.gov.au/people/909919",Y,N,6.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0
"Wallace, Anne",Individual,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1970,1970-08-31 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/anne-wallace,N,,,,,,,,"https://trove.nla.gov.au/people/542210
https://trove.nla.gov.au/people/1482252",Y,N,1.0,0.0,0.0,0.0,3.0,3.0,0.0,7.0
"Zahalka, Anne",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1957,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/anne-zahalka,N,,,,,,"136, 136i",Y,https://trove.nla.gov.au/people/1307952,N,N,28.0,0.0,3.0,6.0,8.0,13.0,3.0,61.0
"Dangar, Anne",Individual,,Dunghutti Land,Kempsey,NSW,Australia,-31.0798092,152.842289,1887 or 1885,1/12/1885,,Serrières,Ardèche,France,45.3182886,4.7650208,1951,1951-09-04 00:00:00,https://www.daao.org.au/bio/annie-garvin-dangar,[Born pre-1900] Y,,Rebecca Edwards,98.0,,,,,"https://trove.nla.gov.au/people/1468689
https://trove.nla.gov.au/people/1197931",Y,N,4.0,0.0,3.0,15.0,0.0,15.0,0.0,37.0
"Quaill, Avril",Individual,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1958,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/avril-quaill,Y,,,,"(1) Hetti Perkins, 'Introduction', in Aboriginal Women's Exhibition, exhibition catalogue, AGNSW, 1991, 7-13 [452-57]",(1) Hetti Perkins,"139, 140i, 457",Y,"https://trove.nla.gov.au/people/563844
https://trove.nla.gov.au/people/554705",Y,N,11.0,0.0,1.0,5.0,4.0,4.0,3.0,28.0
"Marika, Dr B. (Marmburra Wananumba Banduk Marika)",Individual,Rirratjinu People,Yirrkala,Yirrkala,NT,Australia,-12.2539194,136.8899744,1954,1954-10-13 00:00:00,,,,,,,2021,2021-07-12 00:00:00,https://www.daao.org.au/bio/banduk-marika,N,https://www.womenaustralia.info/biogs/AWE1169b.htm,Ellen van Neerven,250.0,,,,,https://trove.nla.gov.au/people/471450,N,N,7.0,0.0,3.0,2.0,0.0,1.0,1.0,14.0
"Campbell, Barbara",Individual,,Mununjali Land,Beaudesert,QLD,Australia,-27.9885617,152.9961186,1961,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/barbara-campbell,Y,,Jacqueline Millner,66.0,,,"161, 182i",Y,"https://trove.nla.gov.au/people/1487083
https://trove.nla.gov.au/people/1561592
https://trove.nla.gov.au/people/1568766
https://trove.nla.gov.au/people/1568767",Y,N,18.0,0.0,2.0,4.0,0.0,1.0,15.0,40.0
"Hanrahan, Barbara",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231427,1939,1939-09-06 00:00:00,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231426997,1991,1991-12-01 00:00:00,https://www.daao.org.au/bio/barbara-hanrahan,Y,https://www.womenaustralia.info/biogs/AWE0991b.htm,Maria Zagala,176.0,,,,,https://trove.nla.gov.au/people/481455,N,N,15.0,0.0,1.0,2.0,0.0,5.0,5.0,28.0
"Maddock, Bea",Individual,,Nipaluna,Hobart,TAS,Australia,-42.882393,147.325848085921,1934,,Palanwina Luruni Kanamaluka,Launceston,TAS,Australia,-41.433389,147.13926291479868,2016,,https://www.daao.org.au/bio/bea-maddock,Y,,Elspeth Pitt,240.0,,,,,https://trove.nla.gov.au/people/469751,N,N,29.0,0.0,4.0,8.0,6.0,8.0,3.0,58.0
"Bellette, Jean",Individual,,Nipaluna,Hobart,TAS,Australia,-42.882393,147.325848085921,1908,1908-03-25 00:00:00,,Palma,Majorca,Spain,39.5695818,2.6500745,1991,1991-03-16 00:00:00,https://www.daao.org.au/bio/bellette-jean,Y,,,,,,,,https://trove.nla.gov.au/people/603302,N,N,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Edwell, Bernice",Individual,,,Newbury,England,United Kingdom,51.4020243,-1.3242212,1880,11/05/1880,Gadigal Land,Sydney,NSW,Australia,-33.8679525999999,151.2101348240446,1962,,https://www.daao.org.au/bio/bernice-e-edwell,[Born pre-1900] Y,,,,,,,,https://trove.nla.gov.au/people/1485282,N,N,6.0,0.0,22.0,11.0,1.0,11.0,6.0,57.0
"Tait, Bess Norriss",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1878,17/05/1878,,London,England,United Kingdom,51.5074456,-0.1277653,1939,1939-01-01 00:00:00,https://www.daao.org.au/bio/bess-norriss-tait,[Born pre-1900] Y,,,,,,,,"https://trove.nla.gov.au/people/1487228
https://trove.nla.gov.au/people/1468693",Y,N,6.0,0.0,6.0,8.0,0.0,14.0,2.0,36.0
