display_name,alternative_names
Nyukana Baker,Baker Nyukana
Clarice Beckett,Clarice Marjoribanks Beckett
Dorrit Black,Dorothea Foster Black
Stella Bowen,Esther Gwendolyn Bowen
Jean Broome-Norton,Isabel Jean Broome
Frances Phoenix,Frances Budden
Ethel Carrick Fox,E. Carrick Fox
Dora Cecil Chapman,Dora Cant
Ola Cohn,Carola Cohn
Olive Cotton,Olive Edith Cotton
Grace Crowley,Grace Adela Williams Crowley
Annie Garvin Dangar,Nancy Dangar
Bessie Davidson,Bessie Ellen Davidson
Pamela Elizabeth Debenham,Pam Debenham
Mirdidingkingathi Juwarnda Sally Gabori,Sally Gabori
Agnes Goodsir,Agnes Noyes Goodsir
Marion Griffin,Marion Mahony Griffin
Mona Hessing,Mona Johnston
Joy Hester,Joy St Clair Hester
Margel Ina Hinder,Margel Ina Harris
Mirka Madeleine Mora,Mirka Madeleine Zelik
Vida Lahey,Frances Vida Lahey
Pat Larter,Holmes
Margo Lewers,Margo Plate
Rosemary Wynnis Madigan,Rosemary Wynnis Giles
Marguerite Henriette Mahood,Margot Mahood
Erica McGilchrist,Erica Margaret McGilchrist
Ann Foster Newmarch,Ann Newmarch
Bess Norriss Tait,Elizabeth May Norriss Tait
Margaret Olley,Margaret Hannah Olley
Adelaide Perry,Adelaide Elizabeth Perry
Margaret Preston,Margaret Rose Preston
Thea Proctor,Alethea Mary Proctor
Angelina Nala Pwerle,Angelina Nangala Pwerle
Hilda Rix Nicholas,Emily Hilder Wright
Freda Rhoda Robertshaw,Freda Robertshaw
Grace Cossington Smith,Grace Smith
Constance Stokes,Constance Parkin
Violet Teague,Violet Helen Evangeline Teague
Esme Timbery,Esme Russell
Jessie Traill,Jessie Constance Alicia Traill
Barbara Tribe,Rhonda Barbara Tribe
Christian Waller,Christian Marjory Emily Carlyle Waller
Ada Whiting,Ada Cherry
Thanakupi,Gloria James Fletcher
Janet Laurence,Janet Lawrence
Corrie Fullard,Corrie Mansell
Gwyn Hanssen Pigott,Gwyn Hanssen
Linda Jackson,Opalinda
Julie Rrap,Julie Brown-Rrap
Patricia Englund,Patricia Burge
Mary Featherston,Mary Curry
Florence Broadhurst,Florence Maude Broadhurst
Joan Brassil,Rita Joan Brassil
Pat Brassington,Patricia Trayling
Jan Mackay,Jan McKay
Miriam Stannage,Miriam Helen Stannage
Elise Margo Blumann,Elise Margo  Blumann
Ewa Pachucka,Ewa Pachuka
Rea,Rea  Noir
Jenny Christmann,Hannelore Bangert
Nongirrna Marawili,Nonggirrnga  Marawili
Kathleen O\u2019Connor,Kathleen Laetitia  O'Connor
Rosie  Kngwarray,Rosie  Kngwarray Kunoth
Jean Broome-Norton,Jean Broome
Ethel Carrick Fox,Carrick
Annie Garvin Dangar,Anne Dangar
Marion Griffin,Marion Lucy Mahony
Mirka Madeleine Mora,Mirka Mora
Margo Lewers,Henrietta Margaret Ernestine Lewers
Rosemary Wynnis Madigan,Rosemary Madigan
Marguerite Henriette Mahood,Marguerite Henriette Callaway
Margaret Preston,Rose McPherson
Hilda Rix Nicholas,Emily Hilda Nicholas
Constance Stokes,Connie Stokes
Christian Waller,Christian Marjory Emily Carlyle Yandell
Thanakupi,Thancoupie
Ewa Pachucka,Ewa Pachuchka
Ethel Carrick Fox,Ethel Carrick
Margaret Preston,Margaret Rose Macpherson
Hilda Rix Nicholas,Hilda Rix
Christian Waller,Christian Yandell
Margaret Preston,Margaret Rose McPherson
Margaret Preston,Margaret Macpherson
