ori_dbid,display_name,related_events,related_organizations,related_people,related_places,related_recognitions,related_resources,related_works,related_total_count
4da194fcb538b73d9300099d,"""Bernice Agar""",2,0,3,6,0,7,2,20
4da194feb538b73d93000a99,"""Clara Southern""",11,0,19,8,3,9,0,50
4da194feb538b73d93000ad6,"""Ruth Drummond Ainsworth""",2,0,8,15,0,6,1,32
4da19501b538b73d93000cdf,"""Ailsa Allan""",6,0,5,8,0,11,4,34
4da19502b538b73d93000d04,"""Harold Desbrowe Annear""",0,0,1,4,0,3,0,8
4da19504b538b73d93000e0d,"""Joyce L. McC Allen""",16,0,11,5,1,10,11,54
4da19504b538b73d93000e56,"""Mary Cecil Allen""",3,0,7,15,0,7,0,32
4da19506b538b73d93000f31,"""Sophie Steffanoni""",4,0,6,2,1,12,4,29
4da19506b538b73d93000f89,"""Curzona Frances Louise Allport""",12,0,8,8,0,9,13,50
4da1950cb538b73d930010c2,"""Edith Annie Mary Alsop""",2,0,9,9,2,16,4,42
4da1950fb538b73d93001328,"""Ethel Anderson""",1,0,9,6,0,22,0,38
4da19512b538b73d93001531,"""Brook Andrew""",19,0,7,5,8,12,8,59
4da19530b538b73d9300249f,"""Alice Marion Ellen Bale""",17,0,8,6,1,11,6,49
4da19531b538b73d930025ac,"""Bronwyn Bancroft""",33,0,14,6,20,10,4,87
4da19533b538b73d930026ed,"""Ralph Balson""",4,0,5,1,0,1,1,12
4da1953bb538b73d93002a4e,"""Ethel Barringer""",3,0,12,9,4,8,0,36
4da19547b538b73d93002e7e,"""Margaret Checkley Beatty""",2,0,4,6,0,2,1,15
4da1954db538b73d9300309f,"""Ruth Sutherland""",1,0,4,0,0,1,0,6
4da19552b538b73d93003253,"""Jean Mary Bellette""",18,0,14,10,2,8,3,55
4da19556b538b73d93003473,"""Portia Mary Bennett""",22,0,5,8,3,1,7,46
4da1955bb538b73d9300368d,"""Yosl Bergner""",6,0,6,9,0,4,2,27
4da1955bb538b73d93003704,"""Eileen Constance Matilda Berndt""",2,0,3,6,0,1,1,13
4da19562b538b73d930038f7,"""Ada Petyarre Bird""",5,0,8,3,0,5,3,24
4da19563b538b73d93003986,"""Karna Marie Birmingham""",5,0,8,4,0,18,6,41
4da19565b538b73d93003a10,"""Dorrit Black""",13,0,20,12,0,12,5,62
4da19566b538b73d93003a9d,"""Vera Blackburn""",8,0,16,8,0,8,1,41
4da19567b538b73d93003acb,"""Charles Blackman""",9,0,19,15,3,3,4,53
4da1956ab538b73d93003bcd,"""Antonia Blaxland""",0,0,5,4,0,7,3,19
4da19570b538b73d93003dbb,"""William Rose Bock""",0,0,3,4,0,1,0,8
4da19571b538b73d93003ddf,"""Edwin Bode""",0,0,2,9,0,4,10,25
4da19574b538b73d93003efa,"""Nancy Wilmot Borlase""",12,0,7,6,4,8,2,39
4da19577b538b73d93003fb4,"""Euphemia Bostock""",6,0,8,6,3,5,2,30
4da1957bb538b73d9300414b,"""Stella Bowen""",9,0,2,10,0,16,4,41
4da1957eb538b73d930042a8,"""Arthur Boyd""",28,0,25,10,1,12,10,86
4da19583b538b73d93004476,"""John Brack""",12,0,9,4,1,0,4,30
4da19587b538b73d930045bb,"""Barbara Nancy Brash""",2,0,17,5,0,3,5,32
4da1958ab538b73d93004719,"""Anne Brennan""",2,0,3,0,0,0,1,6
4da19595b538b73d93004b57,"""Jean Broome-Norton""",4,0,8,4,0,8,3,27
4da19598b538b73d93004bfb,"""Frederick A. Brown""",2,0,4,2,0,5,1,14
4da1959ab538b73d93004cb5,"""Mike Brown""",14,0,5,5,0,2,0,26
4da195a5b538b73d93005072,"""Frances Phoenix""",12,0,1,0,0,1,1,15
4da195abb538b73d93005268,"""Tom Roberts""",8,0,51,13,1,9,8,90
4da195abb538b73d930052a7,"""E. Phillips Fox""",1,0,23,7,0,3,5,39
4da195bdb538b73d93005882,"""Mona Byrnes""",5,0,3,3,0,7,0,18
4da195c1b538b73d9300597e,"""Nutter Buzacott""",14,0,19,14,1,24,4,76
4da195c6b538b73d93005ad4,"""Betty Grace""",1,0,4,2,1,2,1,11
4da195d9b538b73d93005fc3,"""James Montgomery Cant""",1,0,6,1,0,4,5,17
4da195f4b538b73d9300673d,"""Enid de Chair""",0,0,6,1,0,20,0,27
4da195fab538b73d930068ae,"""Dora Cecil Chapman""",7,0,11,11,2,7,3,41
4da19603b538b73d93006af3,"""Lilian Chauvel""",9,0,3,5,0,9,73,99
4da19604b538b73d93006bb9,"""Chelmsford""",2,0,1,1,0,1,10,15
4da19604b538b73d93006bd7,"""G Rodney Cherry""",2,0,5,3,0,0,0,10
4da19605b538b73d93006bf0,"""George Cherry""",1,0,6,9,0,12,6,34
4da1960db538b73d93006dcf,"""Margaret Cilento""",9,0,7,17,2,11,3,49
4da19619b538b73d930070fb,"""Marian Clarke""",1,0,1,2,0,2,7,13
4da19620b538b73d93007360,"""Jacqueline Clayton""",2,0,7,1,0,3,2,15
4da1962fb538b73d93007648,"""George Coates""",0,0,16,10,0,5,2,33
4da19634b538b73d93007740,"""Myra Cocks""",4,0,8,15,0,7,9,43
